Rok;Statistika;Hodnota leden;Datum leden;Hodnota únor;Datum únor;Hodnota bøezen;Datum bøezen;Hodnota duben;Datum duben;Hodnota kvìten;Datum kvìten;Hodnota èerven;Datum èerven;Hodnota èervenec;Datum èervenec;Hodnota srpen;Datum srpen;Hodnota záøí;Datum záøí;Hodnota øíjen;Datum øíjen;Hodnota listopad;Datum listopad;Hodnota prosinec;Datum prosinec;Hodnota rok;Datum rok;

1961;AVG;,5;;4,7;;9,9;;17,1;;15,8;;22,3;;21,4;;22,3;;22,8;;14;;5,7;;,6;;13,1;;

1961;MAX;8,6;31.01.1961;13;18.02.1961;19,5;10.03.1961;25,2;07.04.1961;23,8;26.05.1961;30,2;25.06.1961;31;03.07.1961;30;06.08.1961*;28,8;18.09.1961;21,7;01.10.1961;12;02.11.1961;17,7;05.12.1961;31;03.07.1961;

1961;MIN;-4,7;26.01.1961;-1;06.02.1961;1,5;22.03.1961;10,6;09.04.1961;9,4;10.05.1961;14,4;03.06.1961;14,5;30.07.1961;15;16.08.1961;13,3;10.09.1961;7,2;20.10.1961;-2,4;23.11.1961;-10,3;17.12.1961;-10,3;17.12.1961;

1962;AVG;1,5;;,6;;3;;14,5;;15,4;;20,1;;20,6;;23;;18,1;;13,5;;3,8;;-2,7;;11;;

1962;MAX;8,2;22.01.1962;7,7;12.02.1962;14,2;31.03.1962;27,7;25.04.1962;24;08.05.1962;30,7;23.06.1962;30;26.07.1962;30,5;13.08.1962;29,4;12.09.1962;22,6;04.10.1962;11,8;08.11.1962;3,4;16.12.1962;30,7;23.06.1962;

1962;MIN;-6,8;30.01.1962;-6,3;01.02.1962;-3;16.03.1962;4,5;14.04.1962;5,2;01.05.1962;10,7;07.06.1962;11,9;03.07.1962;17,4;30.08.1962;9,9;18.09.1962;3,5;29.10.1962;-2,1;24.11.1962;-11,4;23.12.1962;-11,4;23.12.1962;

1963;AVG;-5,5;;-2,7;;5,3;;13,5;;17,3;;21,9;;24,4;;22,5;;19,2;;12,3;;9,4;;-3,3;;11,2;;

1963;MAX;1,7;06.01.1963;3,5;18.02.1963;13,9;07.03.1963;21,1;21.04.1963;23,9;24.05.1963;30,4;28.06.1963;31,5;25.07.1963;32;07.08.1963;25;20.09.1963;20,8;13.10.1963;16,3;06.11.1963;3,5;27.12.1963;32;07.08.1963;

1963;MIN;-12,1;12.01.1963;-9,1;01.02.1963;-1,1;01.03.1963;,1;02.04.1963;5,5;04.05.1963;14,5;02.06.1963;19,5;09.07.1963*;11,2;30.08.1963;10,4;29.09.1963;8,5;26.10.1963*;2,7;25.11.1963;-10,6;19.12.1963;-12,1;12.01.1963;

1964;AVG;-2,8;;,6;;2,2;;13,6;;18,3;;23;;24,2;;20,4;;18;;10,9;;6,2;;-,2;;11,2;;

1964;MAX;2,5;31.01.1964;5,1;03.02.1964;13,5;31.03.1964;21,5;20.04.1964;26;31.05.1964;30;13.06.1964;32;21.07.1964;28,5;07.08.1964*;24,5;11.09.1964;18,5;07.10.1964;13,5;15.11.1964;3;31.12.1964;32;21.07.1964;

1964;MIN;-9,3;10.01.1964;-4,3;14.02.1964;-3;03.03.1964*;3,5;08.04.1964;10,1;21.05.1964;15,5;30.06.1964;16;02.07.1964;12,2;10.08.1964;8,5;22.09.1964;4,8;25.10.1964;1,1;30.11.1964;-4,7;30.12.1964;-9,3;10.01.1964;

1965;AVG;,7;;-1,3;;5,2;;10,8;;14,8;;20,5;;21,1;;20,6;;18,1;;13,3;;2,6;;2,6;;10,7;;

1965;MAX;3,5;08.01.1965*;3,5;12.02.1965;14,6;30.03.1965;16,7;04.04.1965;23;17.05.1965;31,8;26.06.1965;29,1;14.07.1965;28,8;07.08.1965;22,5;03.09.1965;19,6;01.10.1965;14,7;01.11.1965;10;19.12.1965;31,8;26.06.1965;

1965;MIN;-1,9;13.01.1965;-6;06.02.1965;-2,5;07.03.1965;6,9;23.04.1965;7,2;11.05.1965;11;01.06.1965;14,9;04.07.1965;12,8;10.08.1965;12;20.09.1965;7,1;17.10.1965;-5,4;23.11.1965;-2,3;23.12.1965;-6;06.02.1965;

1966;AVG;-3,5;;7,2;;5,6;;14;;17,9;;22,2;;21,3;;20,4;;17,4;;15,3;;3,7;;1,8;;11,9;;

1966;MAX;6,5;02.01.1966;13,7;27.02.1966;12,6;09.03.1966;20;27.04.1966;27;04.05.1966;29,3;17.06.1966;28,8;04.07.1966;31,8;14.08.1966;25,5;13.09.1966;23,5;06.10.1966;13,5;05.11.1966;6,8;13.12.1966;31,8;14.08.1966;

